Site,Plot,Species,Count,BA,IV,RelMn,RelMx,RelRng,RelMean,AbsMn,AbsMx,AbsRng,AbsMean
Goose Island,GI14,QUEL,1,3.686904,49.68986084,7.099999905,10.69999981,3.599999905,8.959259316,19353,19486,133,19420.0495
Goose Island,GI15,BENI,12,19.29663378,165.9583343,4.800000191,5.800000191,1,5.195833325,19288,19331,43,19307.05
Goose Island,GI15,FRPE,2,0.3667815,14.228894,4.800000191,5.800000191,1,5.195833325,19288,19331,43,19307.05
Goose Island,GI15,QUEL,2,1.5513903,19.81277171,4.800000191,5.800000191,1,5.195833325,19288,19331,43,19307.05
Goose Island,GI2,ACSA,10,6.89483772,101.0766511,4.599999905,6.599999905,2,5.292000008,19277,19349,72,19311.61
Goose Island,GI2,FRPE,2,3.38769756,33.47736692,4.599999905,6.599999905,2,5.292000008,19277,19349,72,19311.61
Goose Island,GI2,PODE,5,4.61910168,58.2740095,4.599999905,6.599999905,2,5.292000008,19277,19349,72,19311.61
Goose Island,GI2,ULAM,1,0.24483006,7.171972504,4.599999905,6.599999905,2,5.292000008,19277,19349,72,19311.61
Goose Island,GI4,BENI,2,2.83024422,76.72462722,5.699999809,7.900000095,2.200000286,6.965384575,19318,19388,70,19354.97059
Goose Island,GI4,FRPE,2,4.51858446,98.63215926,5.699999809,7.900000095,2.200000286,6.965384575,19318,19388,70,19354.97059
Goose Island,GI4,QUEL,1,0.35783694,24.64321352,5.699999809,7.900000095,2.200000286,6.965384575,19318,19388,70,19354.97059
Goose Island,GI5,FRPE,3,7.96927572,103.0496858,8.100000381,8.100000381,0,8.100000381,19297,19347,50,19318.33663
Goose Island,GI5,ROPS,4,5.27036382,96.95031417,8.100000381,8.100000381,0,8.100000381,19297,19347,50,19318.33663
Goose Island,GI6,BENI,9,10.76243274,176.0527714,4.400000095,7.599999905,3.199999809,5.662962949,19264,19371,107,19313.36
Goose Island,GI6,FRPE,1,0.28273536,11.5665065,4.400000095,7.599999905,3.199999809,5.662962949,19264,19371,107,19313.36
Goose Island,GI6,QUBI,1,0.37572606,12.38072208,4.400000095,7.599999905,3.199999809,5.662962949,19264,19371,107,19313.36
Goose Island,GI9,ACSA,1,0.28273536,10.46281957,6.300000191,7.5,1.199999809,6.915384604,19328,19376,48,19357.44
Goose Island,GI9,CEOC,3,1.81383678,38.66132789,6.300000191,7.5,1.199999809,6.915384604,19328,19376,48,19357.44
Goose Island,GI9,FRPE,7,10.92092598,140.5867931,6.300000191,7.5,1.199999809,6.915384604,19328,19376,48,19357.44
Goose Island,GI9,QUEL,1,0.25966494,10.28905941,6.300000191,7.5,1.199999809,6.915384604,19328,19376,48,19357.44
Great River Harbor,GRH1,ACSA,9,7.65381636,149.1289707,7.800000191,8.199999809,0.399999619,7.880769418,20155,20183,28,20168.35577
Great River Harbor,GRH1,FRPE,4,1.46401722,46.05210891,7.800000191,8.199999809,0.399999619,7.880769418,20155,20183,28,20168.35577
Great River Harbor,GRH1,ULAM,1,0.46162656,12.5112281,7.800000191,8.199999809,0.399999619,7.880769418,20155,20183,28,20168.35577
Great River Harbor,GRH2,ACNE,2,0.95821326,21.20032136,9.199999809,10.5,1.300000191,9.888888889,20203,20251,48,20233.92857
Great River Harbor,GRH2,ACSA,6,5.06752956,73.97632147,9.199999809,10.5,1.300000191,9.888888889,20203,20251,48,20233.92857
Great River Harbor,GRH2,FRPE,2,0.58799574,19.44868791,9.199999809,10.5,1.300000191,9.888888889,20203,20251,48,20233.92857
Great River Harbor,GRH2,PODE,2,14.5218204,85.37466927,9.199999809,10.5,1.300000191,9.888888889,20203,20251,48,20233.92857
Great River Harbor,GRH3,ACSA,11,34.05188538,174.4681327,7.5,7.900000095,0.400000095,7.679166655,20148,20186,38,20163.43434
Great River Harbor,GRH3,FRPE,1,1.02366126,10.02568551,7.5,7.900000095,0.400000095,7.679166655,20148,20186,38,20163.43434
Great River Harbor,GRH3,PODE,2,0.43337484,15.50618177,7.5,7.900000095,0.400000095,7.679166655,20148,20186,38,20163.43434
Great River Harbor,GRH4,ACSA,2,9.364518,82.75408265,7.5,10.30000019,2.800000191,8.857692278,20136,20242,106,20192.80808
Great River Harbor,GRH4,FRPE,1,0.41281326,15.04595604,7.5,10.30000019,2.800000191,8.857692278,20136,20242,106,20192.80808
Great River Harbor,GRH4,QUEL,1,2.405214,27.33375099,7.5,10.30000019,2.800000191,8.857692278,20136,20242,106,20192.80808
Great River Harbor,GRH4,TIAM,4,4.03192404,74.86621033,7.5,10.30000019,2.800000191,8.857692278,20136,20242,106,20192.80808
Indian Slough,IS1,ACSA,3,1.51070346,34.75225235,9.199999809,11.5,2.300000191,10.77037031,20375,20489,114,20462.48515
Indian Slough,IS1,BENI,4,3.01508028,51.29136318,9.199999809,11.5,2.300000191,10.77037031,20375,20489,114,20462.48515
Indian Slough,IS1,CEOC,4,15.672069,113.9563845,9.199999809,11.5,2.300000191,10.77037031,20375,20489,114,20462.48515
Indian Slough,IS2,ACSA,2,1.74538908,86.12794734,8,10.80000019,2.800000191,9.31250004,20366,20470,104,20416.49
Indian Slough,IS2,FRPE,3,0.5085855,59.62842395,8,10.80000019,2.800000191,9.31250004,20366,20470,104,20416.49
Indian Slough,IS2,PODE,1,0.6013035,34.11449434,8,10.80000019,2.800000191,9.31250004,20366,20470,104,20416.49
Indian Slough,IS2,ULAM,1,0.17720046,20.12913437,8,10.80000019,2.800000191,9.31250004,20366,20470,104,20416.49
Indian Slough,IS3,ACSA,3,1.21373316,36.3804906,9.100000381,11,1.899999619,10.12307703,20340,20477,137,20440.33333
Indian Slough,IS3,CEOC,6,11.47559778,140.6574865,9.100000381,11,1.899999619,10.12307703,20340,20477,137,20440.33333
Indian Slough,IS3,FRPE,2,0.6370272,22.9620229,9.100000381,11,1.899999619,10.12307703,20340,20477,137,20440.33333
Indian Slough,IS4,ACSA,7,12.67111458,130.3696072,8.300000191,9.5,1.199999809,8.849999905,20385,20430,45,20408.31683
Indian Slough,IS4,CEOC,1,6.04788606,38.81423757,8.300000191,9.5,1.199999809,8.849999905,20385,20430,45,20408.31683
Indian Slough,IS4,FRPE,2,2.2702275,30.81615524,8.300000191,9.5,1.199999809,8.849999905,20385,20430,45,20408.31683
Lake Rebecca,LR1,ACNE,2,1.09892646,19.6812012,12.3,20.1,7.8,16.8,20867,20950,83,20898.88889
Lake Rebecca,LR1,FRPE,3,2.36883582,35.86870871,12.3,20.1,7.8,16.8,20867,20950,83,20898.88889
Lake Rebecca,LR1,PODE,11,5.86964934,106.7097898,12.3,20.1,7.8,16.8,20867,20950,83,20898.88889
Lake Rebecca,LR1,ULAM,4,2.01372588,37.7403003,12.3,20.1,7.8,16.8,20867,20950,83,20898.88889
Lake Rebecca,LR2,ACSA,27,31.94445978,183.0560697,9.7,20.3,10.6,12.2,20775,20804,29,20784.26263
Lake Rebecca,LR2,FRPE,1,1.24356654,6.955915009,9.7,20.3,10.6,12.2,20775,20804,29,20784.26263
Lake Rebecca,LR2,PODE,1,0.18985374,3.886388323,9.7,20.3,10.6,12.2,20775,20804,29,20784.26263
Lake Rebecca,LR2,ULAM,1,0.95030496,6.101626966,9.7,20.3,10.6,12.2,20775,20804,29,20784.26263
Lake Rebecca,LR3,ACSA,13,11.93940594,121.7466461,8.6,17.7,9.1,10.4,20746,20775,29,20755.25
Lake Rebecca,LR3,FRPE,6,4.69038546,51.88698024,8.6,17.7,9.1,10.4,20746,20775,29,20755.25
Lake Rebecca,LR3,PODE,3,2.42577558,26.36637363,8.6,17.7,9.1,10.4,20746,20775,29,20755.25
Lake Rebecca,LR4,ACSA,8,23.9305158,101.2172584,9.1,17.7,8.6,11.7,20759,20785,26,20770.20792
Lake Rebecca,LR4,FRPE,7,8.81540928,56.58592212,9.1,17.7,8.6,11.7,20759,20785,26,20770.20792
Lake Rebecca,LR4,PODE,4,1.63396386,23.35755958,9.1,17.7,8.6,11.7,20759,20785,26,20770.20792
Lake Rebecca,LR4,ULAM,2,3.53162862,18.83925994,9.1,17.7,8.6,11.7,20759,20785,26,20770.20792
Lake Rebecca,LR5,ACSA,3,1.5012135,32.67547487,10.1,18.4,8.3,14.7,20795,20865,70,20819.06931
Lake Rebecca,LR5,FRPE,1,0.31502304,10.22465187,10.1,18.4,8.3,14.7,20795,20865,70,20819.06931
Lake Rebecca,LR5,PODE,5,22.9678848,128.1141302,10.1,18.4,8.3,14.7,20795,20865,70,20819.06931
Lake Rebecca,LR5,ULAM,2,3.00199068,28.9857431,10.1,18.4,8.3,14.7,20795,20865,70,20819.06931
McNally's Landing,ML1,FRPE,18,14.81857254,200,,,,,19897,19929,32,19910.59
McNally's Landing,ML2,CEOC,7,10.1678922,132.3208321,,,,,19984,20039,55,20009.57
McNally's Landing,ML2,FRPE,2,1.45381824,27.24549393,,,,,19984,20039,55,20009.57
McNally's Landing,ML2,ULAM,3,2.12100606,40.43367398,,,,,19984,20039,55,20009.57
