Site,Plot,Species,TPA,BA,IV
Bagley Bottoms,BB10,ULAM,0,0,0
Goose Island,GI02,ACSA,100,17.28503496,50.53832555
Goose Island,GI02,FRPE,20,0.6964758,16.73868346
Goose Island,GI02,PODE,50,14.28042636,29.13700475
Goose Island,GI02,ULAM,10,0.57861486,3.585986252
Goose Island,GI02,ACNE,0,0,0
Goose Island,GI02,BENI,0,0,0
Goose Island,GI02,CEOC,0,0,0
Goose Island,GI02,QUBI,0,0,0
Goose Island,GI02,QUEL,0,0,0
Goose Island,GI02,ROPS,0,0,0
Goose Island,GI02,TIAM,0,0,0
Goose Island,GI04,BENI,20,2.1175155,38.36231361
Goose Island,GI04,FRPE,20,0.77495886,49.31607963
Goose Island,GI04,QUEL,10,2.38236174,12.32160676
Goose Island,GI04,ACSA,0,0,0
Goose Island,GI04,ACNE,0,0,0
Goose Island,GI04,CEOC,0,0,0
Goose Island,GI04,PODE,0,0,0
Goose Island,GI04,QUBI,0,0,0
Goose Island,GI04,ROPS,0,0,0
Goose Island,GI04,TIAM,0,0,0
Goose Island,GI04,ULAM,0,0,0
Goose Island,GI05,FRPE,30,7.6863222,51.5248429
Goose Island,GI05,ROPS,40,1.01477124,48.47515709
Goose Island,GI05,ACNE,0,0,0
Goose Island,GI05,ACSA,0,0,0
Goose Island,GI05,BENI,0,0,0
Goose Island,GI05,CEOC,0,0,0
Goose Island,GI05,PODE,0,0,0
Goose Island,GI05,QUBI,0,0,0
Goose Island,GI05,QUEL,0,0,0
Goose Island,GI05,TIAM,0,0,0
Goose Island,GI05,ULAM,0,0,0
Goose Island,GI06,BENI,90,7.01155332,88.0263857
Goose Island,GI06,FRPE,10,0.61281144,5.78325325
Goose Island,GI06,QUBI,10,1.29347064,6.19036104
Goose Island,GI06,ACNE,0,0,0
Goose Island,GI06,ACSA,0,0,0
Goose Island,GI06,CEOC,0,0,0
Goose Island,GI06,PODE,0,0,0
Goose Island,GI06,QUEL,0,0,0
Goose Island,GI06,ROPS,0,0,0
Goose Island,GI06,TIAM,0,0,0
Goose Island,GI06,ULAM,0,0,0
Goose Island,GI09,ACSA,10,1.19464416,5.231409785
Goose Island,GI09,CEOC,30,1.74598902,19.33066395
Goose Island,GI09,FRPE,70,3.64119948,70.29339655
Goose Island,GI09,QUEL,10,3.686904,5.144529705
Goose Island,GI09,ACNE,0,0,0
Goose Island,GI09,BENI,0,0,0
Goose Island,GI09,PODE,0,0,0
Goose Island,GI09,QUBI,0,0,0
Goose Island,GI09,ROPS,0,0,0
Goose Island,GI09,TIAM,0,0,0
Goose Island,GI09,ULAM,0,0,0
Goose Island,GI10,ACNE,10,0.196344,9.831703025
Goose Island,GI10,BENI,40,6.6904218,54.58709215
Goose Island,GI10,CEOC,10,0.35783694,14.25509966
Goose Island,GI10,FRPE,10,1.396224,21.32610519
Goose Island,GI10,ACSA,0,0,0
Goose Island,GI10,PODE,0,0,0
Goose Island,GI10,QUBI,0,0,0
Goose Island,GI10,QUEL,0,0,0
Goose Island,GI10,ROPS,0,0,0
Goose Island,GI10,TIAM,0,0,0
Goose Island,GI10,ULAM,0,0,0
Goose Island,GI12,BENI,30,4.14051318,37.11182496
Goose Island,GI12,FRPE,30,5.7108834,49.03528903
Goose Island,GI12,QUEL,20,1.0395324,13.85288602
Goose Island,GI12,ACNE,0,0,0
Goose Island,GI12,ACSA,0,0,0
Goose Island,GI12,CEOC,0,0,0
Goose Island,GI12,PODE,0,0,0
Goose Island,GI12,QUBI,0,0,0
Goose Island,GI12,ROPS,0,0,0
Goose Island,GI12,TIAM,0,0,0
Goose Island,GI12,ULAM,0,0,0
Goose Island,GI13,BENI,10,0.61281144,13.05696322
Goose Island,GI13,QUBI,20,9.02097054,16.17621528
Goose Island,GI13,QUEL,50,7.16453802,53.42600415
Goose Island,GI13,ULAM,10,0.61281144,17.34081738
Goose Island,GI13,ACNE,0,0,0
Goose Island,GI13,ACSA,0,0,0
Goose Island,GI13,CEOC,0,0,0
Goose Island,GI13,FRPE,0,0,0
Goose Island,GI13,PODE,0,0,0
Goose Island,GI13,ROPS,0,0,0
Goose Island,GI13,TIAM,0,0,0
Goose Island,GI14,CEOC,10,0.86587704,8.582788955
Goose Island,GI14,FRPE,40,2.62370124,40.12310451
Goose Island,GI14,QUBI,30,1.59840378,26.44917611
Goose Island,GI14,QUEL,10,2.73659904,24.84493042
Goose Island,GI14,ACNE,0,0,0
Goose Island,GI14,ACSA,0,0,0
Goose Island,GI14,BENI,0,0,0
Goose Island,GI14,PODE,0,0,0
Goose Island,GI14,ROPS,0,0,0
Goose Island,GI14,TIAM,0,0,0
Goose Island,GI14,ULAM,0,0,0
Goose Island,GI15,BENI,120,7.83341658,82.97916715
Goose Island,GI15,FRPE,20,0.77850396,7.114447
Goose Island,GI15,QUEL,20,1.006263,9.906385855
Goose Island,GI15,ACNE,0,0,0
Goose Island,GI15,ACSA,0,0,0
Goose Island,GI15,PODE,0,0,0
Goose Island,GI15,QUBI,0,0,0
Goose Island,GI15,ROPS,0,0,0
Goose Island,GI15,TIAM,0,0,0
Goose Island,GI15,ULAM,0,0,0
Goose Island,GI15,CEOC,0,0,0
Great River Harbor,GR01,ACSA,90,10.20675195,74.56448535
Great River Harbor,GR01,FRPE,40,3.62404665,23.02605446
Great River Harbor,GR01,ULAM,10,4.7171646,6.25561405
Great River Harbor,GR01,ACNE,0,0,0
Great River Harbor,GR01,BENI,0,0,0
Great River Harbor,GR01,CEOC,0,0,0
Great River Harbor,GR01,PODE,0,0,0
Great River Harbor,GR01,QUBI,0,0,0
Great River Harbor,GR01,QUEL,0,0,0
Great River Harbor,GR01,ROPS,0,0,0
Great River Harbor,GR01,TIAM,0,0,0
Great River Harbor,GR02,ACNE,20,1.28291715,10.60016068
Great River Harbor,GR02,ACSA,60,20.78096715,36.98816074
Great River Harbor,GR02,FRPE,20,4.3100235,9.724343955
Great River Harbor,GR02,PODE,20,36.304551,42.68733464
Great River Harbor,GR02,BENI,0,0,0
Great River Harbor,GR02,CEOC,0,0,0
Great River Harbor,GR02,QUBI,0,0,0
Great River Harbor,GR02,QUEL,0,0,0
Great River Harbor,GR02,ROPS,0,0,0
Great River Harbor,GR02,TIAM,0,0,0
Great River Harbor,GR02,ULAM,0,0,0
Great River Harbor,GR03,ACSA,110,25.02199755,87.23406635
Great River Harbor,GR03,FRPE,10,0.7068384,5.012842755
Great River Harbor,GR03,PODE,20,37.6296003,7.753090885
Great River Harbor,GR03,ACNE,0,0,0
Great River Harbor,GR03,BENI,0,0,0
Great River Harbor,GR03,CEOC,0,0,0
Great River Harbor,GR03,QUBI,0,0,0
Great River Harbor,GR03,QUEL,0,0,0
Great River Harbor,GR03,ROPS,0,0,0
Great River Harbor,GR03,TIAM,0,0,0
Great River Harbor,GR03,ULAM,0,0,0
Great River Harbor,GR04,ACSA,20,25.79482935,41.37704133
Great River Harbor,GR04,FRPE,10,0.47463435,7.52297802
Great River Harbor,GR04,QUEL,10,20.738835,13.6668755
Great River Harbor,GR04,TIAM,40,14.50286775,37.43310517
Great River Harbor,GR04,ACNE,0,0,0
Great River Harbor,GR04,BENI,0,0,0
Great River Harbor,GR04,CEOC,0,0,0
Great River Harbor,GR04,PODE,0,0,0
Great River Harbor,GR04,QUBI,0,0,0
Great River Harbor,GR04,ROPS,0,0,0
Great River Harbor,GR04,ULAM,0,0,0
Indian Slough,IS01,ACSA,30,18.66808755,17.37612618
Indian Slough,IS01,BENI,40,2.1856905,25.64568159
Indian Slough,IS01,CEOC,40,3.2737635,56.97819225
Indian Slough,IS01,ACNE,0,0,0
Indian Slough,IS01,FRPE,0,0,0
Indian Slough,IS01,PODE,0,0,0
Indian Slough,IS01,QUBI,0,0,0
Indian Slough,IS01,QUEL,0,0,0
Indian Slough,IS01,ROPS,0,0,0
Indian Slough,IS01,TIAM,0,0,0
Indian Slough,IS01,ULAM,0,0,0
Indian Slough,IS02,ACSA,20,22.974975,43.06397367
Indian Slough,IS02,FRPE,30,13.0178799,29.81421198
Indian Slough,IS02,PODE,10,15.11971515,17.05724717
Indian Slough,IS02,ULAM,10,2.0294334,10.06456719
Indian Slough,IS02,ACNE,0,0,0
Indian Slough,IS02,BENI,0,0,0
Indian Slough,IS02,CEOC,0,0,0
Indian Slough,IS02,QUBI,0,0,0
Indian Slough,IS02,QUEL,0,0,0
Indian Slough,IS02,ROPS,0,0,0
Indian Slough,IS02,TIAM,0,0,0
Indian Slough,IS03,ACSA,30,20.3796891,18.1902453
Indian Slough,IS03,CEOC,60,8.41238595,70.32874325
Indian Slough,IS03,FRPE,20,2.34862875,11.48101145
Indian Slough,IS03,ACNE,0,0,0
Indian Slough,IS03,BENI,0,0,0
Indian Slough,IS03,PODE,0,0,0
Indian Slough,IS03,QUBI,0,0,0
Indian Slough,IS03,QUEL,0,0,0
Indian Slough,IS03,ROPS,0,0,0
Indian Slough,IS03,TIAM,0,0,0
Indian Slough,IS03,ULAM,0,0,0
Indian Slough,IS04,ACSA,70,28.2451752,65.1848036
Indian Slough,IS04,CEOC,10,1.23055875,19.40711879
Indian Slough,IS04,FRPE,20,5.97881115,15.40807762
Indian Slough,IS04,ACNE,0,0,0
Indian Slough,IS04,BENI,0,0,0
Indian Slough,IS04,PODE,0,0,0
Indian Slough,IS04,QUBI,0,0,0
Indian Slough,IS04,QUEL,0,0,0
Indian Slough,IS04,ROPS,0,0,0
Indian Slough,IS04,TIAM,0,0,0
Indian Slough,IS04,ULAM,0,0,0
Lake Rebecca,LR01,ACNE,20,1.093527,9.8406006
Lake Rebecca,LR01,FRPE,30,2.69623944,17.93435436
Lake Rebecca,LR01,PODE,110,39.23760312,53.3548949
Lake Rebecca,LR01,ULAM,40,2.06619336,18.87015015
Lake Rebecca,LR01,ACSA,0,0,0
Lake Rebecca,LR01,BENI,0,0,0
Lake Rebecca,LR01,CEOC,0,0,0
Lake Rebecca,LR01,QUBI,0,0,0
Lake Rebecca,LR01,QUEL,0,0,0
Lake Rebecca,LR01,ROPS,0,0,0
Lake Rebecca,LR01,TIAM,0,0,0
Lake Rebecca,LR02,ACSA,270,29.40153228,91.52803485
Lake Rebecca,LR02,FRPE,10,1.75935132,3.477957505
Lake Rebecca,LR02,PODE,10,41.66026992,1.943194162
Lake Rebecca,LR02,ULAM,10,1.11272508,3.050813483
Lake Rebecca,LR02,ACNE,0,0,0
Lake Rebecca,LR02,BENI,0,0,0
Lake Rebecca,LR02,CEOC,0,0,0
Lake Rebecca,LR02,QUBI,0,0,0
Lake Rebecca,LR02,QUEL,0,0,0
Lake Rebecca,LR02,ROPS,0,0,0
Lake Rebecca,LR02,TIAM,0,0,0
Lake Rebecca,LR03,ACSA,130,25.77080448,60.87332305
Lake Rebecca,LR03,FRPE,60,9.80476488,25.94349012
Lake Rebecca,LR03,PODE,30,14.0047812,13.18318682
Lake Rebecca,LR03,ACNE,0,0,0
Lake Rebecca,LR03,BENI,0,0,0
Lake Rebecca,LR03,CEOC,0,0,0
Lake Rebecca,LR03,QUBI,0,0,0
Lake Rebecca,LR03,QUEL,0,0,0
Lake Rebecca,LR03,ROPS,0,0,0
Lake Rebecca,LR03,TIAM,0,0,0
Lake Rebecca,LR03,ULAM,0,0,0
Lake Rebecca,LR04,ACSA,80,12.40806816,50.6086292
Lake Rebecca,LR04,FRPE,70,4.52823804,28.29296106
Lake Rebecca,LR04,PODE,40,23.21964144,11.67877979
Lake Rebecca,LR04,ULAM,20,1.23783984,9.41962997
Lake Rebecca,LR04,ACNE,0,0,0
Lake Rebecca,LR04,BENI,0,0,0
Lake Rebecca,LR04,CEOC,0,0,0
Lake Rebecca,LR04,QUBI,0,0,0
Lake Rebecca,LR04,QUEL,0,0,0
Lake Rebecca,LR04,ROPS,0,0,0
Lake Rebecca,LR04,TIAM,0,0,0
Lake Rebecca,LR05,ACSA,30,6.95810412,16.33773744
Lake Rebecca,LR05,FRPE,10,0.34207488,5.112325935
Lake Rebecca,LR05,PODE,50,42.45568128,64.0570651
Lake Rebecca,LR05,ULAM,20,1.10759832,14.49287155
Lake Rebecca,LR05,ACNE,0,0,0
Lake Rebecca,LR05,BENI,0,0,0
Lake Rebecca,LR05,CEOC,0,0,0
Lake Rebecca,LR05,QUBI,0,0,0
Lake Rebecca,LR05,QUEL,0,0,0
Lake Rebecca,LR05,ROPS,0,0,0
Lake Rebecca,LR05,TIAM,0,0,0
MCBC,BC01,FRPE,30,7.8739398,60.0102595
MCBC,BC01,PODE,10,32.6465532,17.78476137
MCBC,BC01,TIAM,10,7.1567388,11.8194882
MCBC,BC01,ULAM,10,2.1600567,10.38549094
MCBC,BC01,ACNE,0,0,0
MCBC,BC01,ACSA,0,0,0
MCBC,BC01,BENI,0,0,0
MCBC,BC01,CEOC,0,0,0
MCBC,BC01,QUBI,0,0,0
MCBC,BC01,QUEL,0,0,0
MCBC,BC01,ROPS,0,0,0
MCBC,BC02,ACSA,60,37.9088451,46.16760834
MCBC,BC02,PODE,50,66.4008138,46.17351872
MCBC,BC02,ULAM,10,0.9492687,7.65887294
MCBC,BC02,ACNE,0,0,0
MCBC,BC02,BENI,0,0,0
MCBC,BC02,CEOC,0,0,0
MCBC,BC02,FRPE,0,0,0
MCBC,BC02,QUBI,0,0,0
MCBC,BC02,QUEL,0,0,0
MCBC,BC02,ROPS,0,0,0
MCBC,BC02,TIAM,0,0,0
McNally's Landing,ML01,FRPE,180,70.3775979,100
McNally's Landing,ML01,ACNE,0,0,0
McNally's Landing,ML01,ACSA,0,0,0
McNally's Landing,ML01,BENI,0,0,0
McNally's Landing,ML01,CEOC,0,0,0
McNally's Landing,ML01,PODE,0,0,0
McNally's Landing,ML01,QUBI,0,0,0
McNally's Landing,ML01,QUEL,0,0,0
McNally's Landing,ML01,ROPS,0,0,0
McNally's Landing,ML01,TIAM,0,0,0
McNally's Landing,ML01,ULAM,0,0,0
McNally's Landing,ML02,CEOC,70,48.3947055,66.16041605
McNally's Landing,ML02,FRPE,20,12.6393723,13.62274697
McNally's Landing,ML02,ULAM,30,11.3947695,20.21683699
McNally's Landing,ML02,ACNE,0,0,0
McNally's Landing,ML02,ACSA,0,0,0
McNally's Landing,ML02,BENI,0,0,0
McNally's Landing,ML02,PODE,0,0,0
McNally's Landing,ML02,QUBI,0,0,0
McNally's Landing,ML02,QUEL,0,0,0
McNally's Landing,ML02,ROPS,0,0,0
McNally's Landing,ML02,TIAM,0,0,0
