Site,Plot,Species,Count,BA,IV
Indian Slough,IS3,ACSA,3,1.21373316,36.3804906
Indian Slough,IS3,CEOC,6,11.47559778,140.6574865
Indian Slough,IS3,FRPE,2,0.6370272,22.9620229
Indian Slough,IS4,ACSA,7,12.67111458,130.3696072
Indian Slough,IS4,CEOC,1,6.04788606,38.81423757
Indian Slough,IS4,FRPE,2,2.2702275,30.81615524
Lake Rebecca,LR1,ACNE,2,1.09892646,19.6812012
Lake Rebecca,LR1,FRPE,3,2.36883582,35.86870871
Lake Rebecca,LR1,PODE,11,5.86964934,106.7097898
Lake Rebecca,LR1,ULAM,4,2.01372588,37.7403003
Lake Rebecca,LR2,ACSA,27,31.94445978,183.0560697
Lake Rebecca,LR2,FRPE,1,1.24356654,6.955915009
Lake Rebecca,LR2,PODE,1,0.18985374,3.886388323
Lake Rebecca,LR2,ULAM,1,0.95030496,6.101626966
Lake Rebecca,LR3,ACSA,13,11.93940594,121.7466461
Lake Rebecca,LR3,FRPE,6,4.69038546,51.88698024
Lake Rebecca,LR3,PODE,3,2.42577558,26.36637363
Lake Rebecca,LR4,ACSA,8,23.9305158,101.2172584
Lake Rebecca,LR4,FRPE,7,8.81540928,56.58592212
Lake Rebecca,LR4,PODE,4,1.63396386,23.35755958
Lake Rebecca,LR4,ULAM,2,3.53162862,18.83925994
Lake Rebecca,LR5,ACSA,3,1.5012135,32.67547487
Lake Rebecca,LR5,FRPE,1,0.31502304,10.22465187
Lake Rebecca,LR5,PODE,5,22.9678848,128.1141302
Lake Rebecca,LR5,ULAM,2,3.00199068,28.9857431
McNally's Landing,ML1,FRPE,18,14.81857254,200
McNally's Landing,ML2,CEOC,7,10.1678922,132.3208321
McNally's Landing,ML2,FRPE,2,1.45381824,27.24549393
McNally's Landing,ML2,ULAM,3,2.12100606,40.43367398
