site,Plot,tree,species,dbh,dbhclass,height,lcr,class,age,ba,tpa,remin,remax,rerange,remean,aemin,aemax,aerange,aemean,AveInun,fldcls,meddur,medpeak,comp,Pith Score,Match Score,Core Condition,Rings,RelMin,RelMax,RelRng,RelMn,AveInun,MedDur,MedPk,AveFreq,Shan,Simp,Rich,AbsMn,AbsMx,AbsRng,AbsMean,FC1,durbin,pkbin,fqbin
Bagley Bottoms,BB1,11,ACSA,21.2,21,53,20,C,52,2.45124576,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,,,,79,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,12,ACSA,13.5,13,51,50,C,41,0.9939915,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,,,,71,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB1,13,ACSA,31.5,31,51,50,C,51,5.4117315,10,7.099999905,8,0.900000095,7.544444455,18661,18702,41,18681.61765,31.46944444,80,4,125,pure,,,,89,7.099999905,8,0.900000095,7.544444455,31.46944444,4,125,1.956944444,0,1,1,18661,18702,41,18681.61765,30,4,125,1.5
Bagley Bottoms,BB2,1,ULAM,11.5,11,61.4,30,C,45,0.7212915,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,,A,65,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,2,ULAM,6.3,6,51.5,60,S,45,0.21646926,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,B,A,66,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,3,ACSA,8.5,8,73.1,15,D,50,0.3940515,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,A,C,A,61,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,4,ULAM,7.1,7,38.5,50,S,47,0.27493614,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,A,B,A,64,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,5,ACSA,14.8,14,79.6,35,D,46,1.19464416,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,B,A,65,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,6,ACSA,12,12,60,30,I,48,0.785376,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,A,A,A,NA,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,7,ACSA,13,13,74,20,C,46,0.921726,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,C,A,79,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,8,ACSA,15.5,15,99.8,20,D,45,1.3103235,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,C,A,82,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,9,ACSA,22,22,95.1,30,D,40,2.639736,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,A,A,89,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,10,ACSA,6,6,44.1,50,S,38,0.196344,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,B,B,B,87,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,11,ULAM,7.1,7,36.9,70,S,48,0.27493614,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,A,C,A,80,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,12,ACSA,13.9,13,75.6,50,I,52,1.05376734,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,C,A,97,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB2,13,ACSA,19.8,19,96.5,30,D,50,2.13818616,10,8.5,9.100000381,0.600000381,8.738461641,18711,18745,34,18725.34653,18.803125,30,8,119.5,mixed,C,C,A,39,8.5,9.100000381,0.600000381,8.738461641,18.803125,8,119.5,1.33125,0.693147181,1.968736999,2,18711,18745,34,18725.34653,15,7,115,1
Bagley Bottoms,BB3,1,FRPE,18.3,18,75.3,30,C,47,1.82649006,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,B,A,NA,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,2,ACSA,13.3,13,65.7,25,I,46,0.96475806,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,B,A,65,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,3,ACSA,15.4,15,66,50,C,48,1.29347064,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,B,B,69,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,4,ACSA,12.1,12,59.8,40,I,46,0.79852014,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,C,B,75,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,5,ACSA,6.4,6,50,60,S,48,0.22339584,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,B,B,A,67,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,6,FRPE,7.9,7,45.1,35,S,48,0.34038414,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,B,,A,62,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,7,ACSA,22.2,22,79.3,45,C,41,2.68794936,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,,A,63,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,8,ACSA,20.7,20,75.7,60,C,45,2.33698446,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,,A,67,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,9,FRPE,23,23,77,15,D,59,2.885166,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,,C,84,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,10,ULAM,9.3,9,64.9,75,C,49,0.47171646,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,A,B,A,77,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,11,ACSA,15.8,15,82.1,20,D,45,1.36153656,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,C,A,71,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,12,ACSA,21.1,21,87.5,30,D,47,2.42817534,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,C,B,72,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,13,ULAM,14.5,14,70.1,30,D,46,1.1467035,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,C,B,72,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,14,ACSA,8,8,51.9,70,S,44,0.349056,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,C,B,79,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,15,ULAM,6.5,6,45.4,85,S,49,0.2304315,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,C,B,A,81,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB3,16,ULAM,8.5,8,50.9,35,S,45,0.3940515,10,10.5,11.60000038,1.100000381,11.03846158,18757,18827,70,18795.37,5.834210526,10,6,116,mixed,B,C,B,65,10.5,11.60000038,1.100000381,11.03846158,5.834210526,6,116,0.593421053,1.083575524,2.844444444,3,18757,18827,70,18795.37,5,5.5,115,0.5
Bagley Bottoms,BB4,1,FRPE,19.4,19,55,40,C,59,2.05266744,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,C,B,A,43,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,2,ACSA,20,20,43,25,I,47,2.1816,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,C,C,A,45,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,3,ACSA,20.1,20,43,25,I,59,2.20347054,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,B,A,B,41,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,4,ACSA,15.2,15,43,25,I,37,1.26009216,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,B,A,B,40,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,5,ACSA,20,20,53,25,C,73,2.1816,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,B,A,B,47,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,6,ULAM,9.2,9,47,30,S,58,0.46162656,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,C,C,A,51,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,7,ACSA,11.1,11,43,20,I,64,0.67198734,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,A,C,A,47,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,8,ACSA,13.8,13,58,15,C,60,1.03865976,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,C,B,A,40,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,9,ACSA,15,15,50,20,C,61,1.22715,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,C,C,B,45,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,10,ACSA,11.8,11,47,35,I,56,0.75941496,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,C,C,A,49,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,11,ACSA,11.5,11,45,5,S,NA,0.7212915,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,,,,52,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,12,ACSA,18.7,18,52,30,D,65,1.90720926,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,B,C,B,41,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,13,ACSA,21,21,46,40,I,59,2.405214,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,C,C,A,51,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,14,ACSA,15.1,15,46,40,I,NA,1.24356654,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,B,C,B,45,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB4,15,ACSA,31.8,31,59,25,D,68,5.51530296,10,8.800000191,9.699999809,0.899999619,9.18749996,18721,18756,35,18737.16832,14.90333333,10,8,120,pure,,,,45,8.800000191,9.699999809,0.899999619,9.18749996,14.90333333,8,120,1.115,1.083575524,1.315789474,3,18721,18756,35,18737.16832,10,7,120,1
Bagley Bottoms,BB5,1,PODE,24.4,24,63,15,D,70,3.24709344,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,C,A,A,50,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,2,ACSA,5.5,5,45,60,S,64,0.1649835,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,A,B,A,47,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,3,ACSA,19.1,19,60,35,C,68,1.98967374,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,C,A,A,46,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,4,ACSA,22,22,32,70,S,66,2.639736,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,A,C,B,48,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,5,ACSA,21.3,21,57,40,C,68,2.47442526,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,C,B,A,46,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,6,ACSA,14.3,14,54,35,I,66,1.11528846,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,C,B,B,45,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,7,ACSA,15.1,15,51,20,C,71,1.24356654,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,C,C,A,40,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,8,ACSA,6.5,6,44,85,S,57,0.2304315,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,B,,B,38,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,9,PODE,34.3,34,65,20,D,70,6.41657646,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,C,B,C,48,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,10,ACSA,13.3,13,56,25,C,59,0.96475806,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,C,,B,52,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB5,11,ACSA,9.8,9,52,40,I,62,0.52380216,10,9.399999619,10.5,1.100000381,9.714814787,18728,18779,51,18751.56436,12.10882353,20,9,119,pure,B,C,A,50,9.399999619,10.5,1.100000381,9.714814787,12.10882353,9,119,0.988235294,0.693147181,1.423529412,2,18728,18779,51,18751.56436,10,8.5,115,0.5
Bagley Bottoms,BB7,1,?,17.8,17,52,10,D,62,1.72804536,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,C,C,C,47,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,2,FRPE,6.7,6,39,40,S,69,0.24483006,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,A,A,A,59,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,3,ACSA,18.7,18,60,35,C,65,1.90720926,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,C,C,B,37,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,4,?,17.5,17,51,20,C,63,1.6702875,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,C,B,C,73,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,5,ACSA,13.7,13,46,15,I,NA,1.02366126,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,,,,58,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,6,FRPE,16.7,16,48,25,C,66,1.52106606,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,C,B,A,64,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,7,ACSA,21.1,21,57,30,D,68,2.42817534,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,A,C,A,60,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,8,ACSA,13.6,13,46,15,I,65,1.00877184,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,C,C,A,61,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
Bagley Bottoms,BB7,9,ULAM,6.6,6,34,65,S,66,0.23757624,10,8.399999619,9.399999619,1,8.880769106,18714,18745,31,18729.80198,17.34,20,9,119,mixed,B,A,B,56,8.399999619,9.399999619,1,8.880769106,17.34,9,119,1.243333333,1.386294361,3.188679245,4,18714,18745,31,18729.80198,15,8.5,115,1
