Site,Plot,Species,Count,FldCls,MedDur,MedPk,AveFreq,AveInun,BA,IV,Shan,Simp,Rich
Goose Island,GI10,CEOC,1,30,11,122.5,1.846666667,23.95666667,1.19464416,28.51019931,1.386294361,2.578947368,4
Goose Island,GI10,FRPE,1,30,11,122.5,1.846666667,23.95666667,2.38236174,42.65221038,1.386294361,2.578947368,4
Goose Island,GI12,BENI,3,30,8,122.5,1.256578947,14.52236842,4.6560798,74.22364991,1.083575524,2.909090909,3
Goose Island,GI12,FRPE,3,30,8,122.5,1.256578947,14.52236842,7.67955924,98.07057806,1.083575524,2.909090909,3
Goose Island,GI12,QUEL,2,30,8,122.5,1.256578947,14.52236842,0.3430566,27.70577203,1.083575524,2.909090909,3
Goose Island,GI13,BENI,1,50,11,130,1.11375,14.50875,1.16257464,26.11392643,1.386294361,2.612903226,4
Goose Island,GI13,QUBI,2,50,11,130,1.11375,14.50875,0.78499422,32.35243056,1.386294361,2.612903226,4
Goose Island,GI13,QUEL,5,50,11,130,1.11375,14.50875,3.97498428,106.8520083,1.386294361,2.612903226,4
Goose Island,GI13,ULAM,1,50,11,130,1.11375,14.50875,1.82649006,34.68163476,1.386294361,2.612903226,4
Goose Island,GI14,CEOC,1,10,5,110,0.233695652,2.338043478,0.57861486,17.16557791,1.386294361,3,4
Goose Island,GI14,FRPE,4,10,5,110,0.233695652,2.338043478,3.42151236,80.24620902,1.386294361,3,4
Goose Island,GI14,QUBI,3,10,5,110,0.233695652,2.338043478,1.86979482,52.89835222,1.386294361,3,4
Goose Island,GI14,QUEL,1,10,5,110,0.233695652,2.338043478,3.686904,49.68986084,1.386294361,3,4
Goose Island,GI15,BENI,12,30,10,128,1.972058824,26.42205882,19.29663378,165.9583343,1.083575524,1.684210526,3
Goose Island,GI15,FRPE,2,30,10,128,1.972058824,26.42205882,0.3667815,14.228894,1.083575524,1.684210526,3
Goose Island,GI15,QUEL,2,30,10,128,1.972058824,26.42205882,1.5513903,19.81277171,1.083575524,1.684210526,3
Goose Island,GI2,ACSA,10,50,11,130,1.767045455,23.42272727,6.89483772,101.0766511,1.386294361,2.492307692,4
Goose Island,GI2,FRPE,2,50,11,130,1.767045455,23.42272727,3.38769756,33.47736692,1.386294361,2.492307692,4
Goose Island,GI2,PODE,5,50,11,130,1.767045455,23.42272727,4.61910168,58.2740095,1.386294361,2.492307692,4
Goose Island,GI2,ULAM,1,50,11,130,1.767045455,23.42272727,0.24483006,7.171972504,1.386294361,2.492307692,4
Goose Island,GI4,BENI,2,20,7,147.5,0.689772727,7.871590909,2.83024422,76.72462722,1.083575524,2.777777778,3
Goose Island,GI4,FRPE,2,20,7,147.5,0.689772727,7.871590909,4.51858446,98.63215926,1.083575524,2.777777778,3
Goose Island,GI4,QUEL,1,20,7,147.5,0.689772727,7.871590909,0.35783694,24.64321352,1.083575524,2.777777778,3
Goose Island,GI5,FRPE,3,10,8,115.5,0.3,3.275,7.96927572,103.0496858,0.693147181,1.96,2
Goose Island,GI5,ROPS,4,10,8,115.5,0.3,3.275,5.27036382,96.95031417,0.693147181,1.96,2
Goose Island,GI6,BENI,9,10,7,110,1.619736842,23.22368421,10.76243274,176.0527714,1.054339022,1.457831325,3
Goose Island,GI6,FRPE,1,10,7,110,1.619736842,23.22368421,0.28273536,11.5665065,1.054339022,1.457831325,3
Goose Island,GI6,QUBI,1,10,7,110,1.619736842,23.22368421,0.37572606,12.38072208,1.054339022,1.457831325,3
Goose Island,GI9,ACSA,1,10,7,115.5,0.64375,7.41,0.28273536,10.46281957,1.386294361,2.4,4
Goose Island,GI9,CEOC,3,10,7,115.5,0.64375,7.41,1.81383678,38.66132789,1.386294361,2.4,4
Goose Island,GI9,FRPE,7,10,7,115.5,0.64375,7.41,10.92092598,140.5867931,1.386294361,2.4,4
Goose Island,GI9,QUEL,1,10,7,115.5,0.64375,7.41,0.25966494,10.28905941,1.386294361,2.4,4
Great River Harbor,GRH1,ACSA,9,50,13,136,2.183333333,38.24444444,7.65381636,149.1289707,1.083575524,1.724489796,3
Great River Harbor,GRH1,FRPE,4,50,13,136,2.183333333,38.24444444,1.46401722,46.05210891,1.083575524,1.724489796,3
Great River Harbor,GRH1,ULAM,1,50,13,136,2.183333333,38.24444444,0.46162656,12.5112281,1.083575524,1.724489796,3
Great River Harbor,GRH2,ACNE,2,10,8,117,0.697368421,7.467105263,0.95821326,21.20032136,1.386294361,3.520833333,4
Great River Harbor,GRH2,ACSA,6,10,8,117,0.697368421,7.467105263,5.06752956,73.97632147,1.386294361,3.520833333,4
Great River Harbor,GRH2,FRPE,2,10,8,117,0.697368421,7.467105263,0.58799574,19.44868791,1.386294361,3.520833333,4
Great River Harbor,GRH2,PODE,2,10,8,117,0.697368421,7.467105263,14.5218204,85.37466927,1.386294361,3.520833333,4
Great River Harbor,GRH3,ACSA,11,50,11.5,136,2.522916667,48.83333333,34.05188538,174.4681327,1.083575524,1.555555556,3
Great River Harbor,GRH3,FRPE,1,50,11.5,136,2.522916667,48.83333333,1.02366126,10.02568551,1.083575524,1.555555556,3
Great River Harbor,GRH3,PODE,2,50,11.5,136,2.522916667,48.83333333,0.43337484,15.50618177,1.083575524,1.555555556,3
Great River Harbor,GRH4,ACSA,2,20,8.5,116.5,1.460294118,22.49264706,9.364518,82.75408265,1.386294361,2.909090909,4
Great River Harbor,GRH4,FRPE,1,20,8.5,116.5,1.460294118,22.49264706,0.41281326,15.04595604,1.386294361,2.909090909,4
Great River Harbor,GRH4,QUEL,1,20,8.5,116.5,1.460294118,22.49264706,2.405214,27.33375099,1.386294361,2.909090909,4
Great River Harbor,GRH4,TIAM,4,20,8.5,116.5,1.460294118,22.49264706,4.03192404,74.86621033,1.386294361,2.909090909,4
Indian Slough,IS1,ACSA,3,10,8,105,0.161904762,1.670238095,1.51070346,34.75225235,1.083575524,2.951219512,3
Indian Slough,IS1,BENI,4,10,8,105,0.161904762,1.670238095,3.01508028,51.29136318,1.083575524,2.951219512,3
Indian Slough,IS1,CEOC,4,10,8,105,0.161904762,1.670238095,15.672069,113.9563845,1.083575524,2.951219512,3
Indian Slough,IS2,ACSA,2,10,8,105,0.2825,3.05875,1.74538908,86.12794734,1.386294361,3.266666667,4
Indian Slough,IS2,FRPE,3,10,8,105,0.2825,3.05875,0.5085855,59.62842395,1.386294361,3.266666667,4
Indian Slough,IS2,PODE,1,10,8,105,0.2825,3.05875,0.6013035,34.11449434,1.386294361,3.266666667,4
Indian Slough,IS2,ULAM,1,10,8,105,0.2825,3.05875,0.17720046,20.12913437,1.386294361,3.266666667,4
Indian Slough,IS3,ACSA,3,10,7,108.5,0.478571429,4.271428571,1.21373316,36.3804906,1.083575524,2.469387755,3
Indian Slough,IS3,CEOC,6,10,7,108.5,0.478571429,4.271428571,11.47559778,140.6574865,1.083575524,2.469387755,3
Indian Slough,IS3,FRPE,2,10,7,108.5,0.478571429,4.271428571,0.6370272,22.9620229,1.083575524,2.469387755,3
Indian Slough,IS4,ACSA,7,10,8,115,0.385,4.25875,12.67111458,130.3696072,1.083575524,1.851851852,3
Indian Slough,IS4,CEOC,1,10,8,115,0.385,4.25875,6.04788606,38.81423757,1.083575524,1.851851852,3
Indian Slough,IS4,FRPE,2,10,8,115,0.385,4.25875,2.2702275,30.81615524,1.083575524,1.851851852,3
Lake Rebecca,LR1,ACNE,2,10,12,121,0.108653846,0.236081731,1.09892646,19.6812012,1.386294361,2.547770701,4
Lake Rebecca,LR1,FRPE,3,10,12,121,0.108653846,0.236081731,2.36883582,35.86870871,1.386294361,2.547770701,4
Lake Rebecca,LR1,PODE,11,10,12,121,0.108653846,0.236081731,5.86964934,106.7097898,1.386294361,2.547770701,4
Lake Rebecca,LR1,ULAM,4,10,12,121,0.108653846,0.236081731,2.01372588,37.7403003,1.386294361,2.547770701,4
Lake Rebecca,LR2,ACSA,27,20,10,133,1.017484472,18.98569643,31.94445978,183.0560697,1.386294361,1.229508197,4
Lake Rebecca,LR2,FRPE,1,20,10,133,1.017484472,18.98569643,1.24356654,6.955915009,1.386294361,1.229508197,4
Lake Rebecca,LR2,PODE,1,20,10,133,1.017484472,18.98569643,0.18985374,3.886388323,1.386294361,1.229508197,4
Lake Rebecca,LR2,ULAM,1,20,10,133,1.017484472,18.98569643,0.95030496,6.101626966,1.386294361,1.229508197,4
Lake Rebecca,LR3,ACSA,13,30,12,137,1.494367938,43.65104829,11.93940594,121.7466461,1.083575524,2.261682243,3
Lake Rebecca,LR3,FRPE,6,30,12,137,1.494367938,43.65104829,4.69038546,51.88698024,1.083575524,2.261682243,3
Lake Rebecca,LR3,PODE,3,30,12,137,1.494367938,43.65104829,2.42577558,26.36637363,1.083575524,2.261682243,3
Lake Rebecca,LR4,ACSA,8,20,11,133,1.180296296,27.37033426,23.9305158,101.2172584,1.386294361,3.315789474,4
Lake Rebecca,LR4,FRPE,7,20,11,133,1.180296296,27.37033426,8.81540928,56.58592212,1.386294361,3.315789474,4
Lake Rebecca,LR4,PODE,4,20,11,133,1.180296296,27.37033426,1.63396386,23.35755958,1.386294361,3.315789474,4
Lake Rebecca,LR4,ULAM,2,20,11,133,1.180296296,27.37033426,3.53162862,18.83925994,1.386294361,3.315789474,4
Lake Rebecca,LR5,ACSA,3,10,12,127,0.415517241,5.33695351,1.5012135,32.67547487,1.386294361,3.102564103,4
Lake Rebecca,LR5,FRPE,1,10,12,127,0.415517241,5.33695351,0.31502304,10.22465187,1.386294361,3.102564103,4
Lake Rebecca,LR5,PODE,5,10,12,127,0.415517241,5.33695351,22.9678848,128.1141302,1.386294361,3.102564103,4
Lake Rebecca,LR5,ULAM,2,10,12,127,0.415517241,5.33695351,3.00199068,28.9857431,1.386294361,3.102564103,4
McNally's Landing,ML1,FRPE,18,10,7,132,0.658,5.0576,14.81857254,200,0,1,1
McNally's Landing,ML2,CEOC,7,10,10,120,0.17325,0.3667875,10.1678922,132.3208321,1.083575524,2.322580645,3
McNally's Landing,ML2,FRPE,2,10,10,120,0.17325,0.3667875,1.45381824,27.24549393,1.083575524,2.322580645,3
McNally's Landing,ML2,ULAM,3,10,10,120,0.17325,0.3667875,2.12100606,40.43367398,1.083575524,2.322580645,3
